Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
OKC-37,MVP & Final's MVP,World Champion Debut,Plays,,"""Mutually Assured Dogstruction"" for official play",0,,0,You and your opponent each discard 2 Hot Dogs.
OKC-38,"Out With The Old Big 3, In With The New",World Champion Debut,Plays,,"""Discard Rebate"" for official play",0,,0,Shuffle a Hero from your Discard Pile back into your Hero Deck.
OKC-39,Getting Over The Hump,World Champion Debut,Plays,,"""Cursed Coin"" for official play",0,,2,Flip a coin 3 times; opponent's Hero gets -10 each time the coin lands on heads.
OKC-40,Down But Never Out,World Champion Debut,Plays,,"""Forced Substitution"" for official play",0,,3,Your opponent must pay 2 Hot Dogs and Substitute next Battle.
OKC-41,The Young Core,World Champion Debut,Plays,,"""Brothers In Arms"" for official play",0,,2,"If your opponent has played a Hero with the same weapon type as yours, your Hero gets +20."
OKC-42,Unlikely Heroes,World Champion Debut,Plays,,"""Might Of The Underdog"" for official play",0,,1,"Draw the top Hero of your Hero Deck and Reveal it to your opponent. If its Power is 120 or lower, your Hero gets +30."
OKC-43,All In On The Rebuild,World Champion Debut,Plays,,"""Feast Or Famine"" for official play",0,,0,"If you win this Battle, Recover 2 Hot Dogs. If you lose, Discard 1 Hot Dog."
OKC-44,Trades For The Future,World Champion Debut,Plays,,"""Double Replacement"" for official play",0,,1,Discard one Hero from your hand. Draw 2 new Heroes.
OKC-45,Game 7,World Champion Debut,Plays,,"""Big Win Energy"" for official play",0,,3,"If you win this Battle, your next Hero gets +40."
OKC-46,Heading To Oklahoma,World Champion Debut,Plays,,"""Cheap Addition"" for official play",0,,1,Reveal the top 5 Plays of your Playbook. Add one to your hand and shuffle the rest back into your Playbook.
OKC-47,Greaser Dog,World Champion Debut,Hot Dog,,,0,,0,
OKC-48,Stormchaser,World Champion Debut,Hot Dog,,,0,,0,
OKC-49,Stormchaser,World Champion Debut,Hot Dog,,,0,,0,
OKC-50,Stormchaser,World Champion Debut,Hot Dog,,,0,,0,
OKC-51,Stormchaser,World Champion Debut,Hot Dog,,,0,,0,
OKC-52,Stormchaser,World Champion Debut,Hot Dog,,,0,,0,
OKC-53,Stormchaser,World Champion Debut,Hot Dog,,,0,,0,
OKC-54,Stormchaser,World Champion Debut,Hot Dog,,,0,,0,
