Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
55,D-Hop,First Edition,Base Set,Fire,,90,Deandre Hopkins,0,
56,Alien,First Edition,Base Set,Fire,,90,CJ Abrams,0,
57,Portalize,First Edition,Base Set,Fire,,90,Sam Laporta,0,
58,Torque,First Edition,Base Set,Fire,,90,Spencer Torkelson,0,
59,Risarcher,First Edition,Base Set,Fire,,90,Zaccharie Risacher,0,
60,Sarrtillery,First Edition,Base Set,Fire,,90,Alexandre Sarr,0,
61,LeBoss,First Edition,Base Set,Ice,,135,Lebron James,0,
62,Merlomes,First Edition,Base Set,Ice,,135,Patrick Mahomes,0,
63,Chosen,First Edition,Base Set,Ice,,135,Juan Soto,0,
64,Midas,First Edition,Base Set,Ice,,135,Steph Curry,0,
65,Bison,First Edition,Base Set,Ice,,135,Josh Allen,0,
66,Wargod,First Edition,Base Set,Ice,,135,Mike Trout,0,
67,Donny Buckets,First Edition,Base Set,Ice,,130,Luka Doncic,0,
68,Warp,First Edition,Base Set,Ice,,130,Lamar Jackson,0,
69,Harpoon,First Edition,Base Set,Ice,,130,Bryca Harper,0,
70,Mustang,First Edition,Base Set,Ice,,130,Nikola Jokic,0,
71,Jaybird,First Edition,Base Set,Ice,,130,Jayden Daniels,0,
72,J-Jetts,First Edition,Base Set,Ice,,130,Justin Jefferson,0,
73,Merri-Go-Round,First Edition,Base Set,Ice,,125,Jackson Marrill,0,
74,Shystep,First Edition,Base Set,Ice,,125,Shai Gilgeous-Alexander,0,
75,Ram,First Edition,Base Set,Ice,,125,Jose Ramirez,0,
76,Freakshow,First Edition,Base Set,Ice,,125,Giannis Anteokounmpo,0,
77,Lightningrod,First Edition,Base Set,Ice,,125,Julio Rodriguez,0,
78,Bayou,First Edition,Base Set,Ice,,125,Ja'marr Chase,0,
79,McArmyKnife,First Edition,Base Set,Ice,,120,Christian McCaffrey,0,
80,Tigre,First Edition,Base Set,Ice,,120,Miguel Cabrera,0,
81,Cheetah,First Edition,Base Set,Ice,,120,Tyreek Hill,0,
82,Spider,First Edition,Base Set,Ice,,120,Donovan Mitchell,0,
83,Crews-Missle,First Edition,Base Set,Ice,,120,Dylan Crews,0,
84,Unibrow,First Edition,Base Set,Ice,,120,Anthony Davis,0,
85,Exterminaber,First Edition,Base Set,Ice,,115,Malik Nabers,0,
86,Bomber,First Edition,Base Set,Ice,,115,Jordan Alvarez,0,
87,Juice,First Edition,Base Set,Ice,,115,Jaylen Brown,0,
88,Attak,First Edition,Base Set,Ice,,115,Dak Prescott,0,
89,ChetMate,First Edition,Base Set,Ice,,115,Chet Holmgren,0,
90,Phoenix,First Edition,Base Set,Ice,,115,Bo Nix,0,
91,Lieutenant,First Edition,Base Set,Ice,,110,Dansby Swanson,0,
92,Snowbear,First Edition,Base Set,Ice,,110,Pete Alonso,0,
93,Boltage,First Edition,Base Set,Ice,,110,Justin Herbert,0,
94,Librarian,First Edition,Base Set,Ice,,110,Devin Booker,0,
95,Aeronaut,First Edition,Base Set,Ice,,110,Nolan Arenado,0,
96,Sabotage,First Edition,Base Set,Ice,,110,Domantas Sabonis,0,
97,Mic'd Up,First Edition,Base Set,Ice,,105,MIke Evans,0,
98,Jambox,First Edition,Base Set,Ice,,105,Ja Morant,0,
99,Simon Says,First Edition,Base Set,Ice,,105,Anfernee Simons,0,
100,Mr. Irrelevant,First Edition,Base Set,Ice,,105,Brock Purdy,0,
101,Pantera,First Edition,Base Set,Ice,,105,Luis Robert Jr,0,
102,Rockstar,First Edition,Base Set,Ice,,105,Jazz Chisholm,0,
103,Big-Z,First Edition,Base Set,Ice,,100,Zion Williamson,0,
104,Clutch,First Edition,Base Set,Ice,,100,Andrew McCutchen,0,
105,PukaDot,First Edition,Base Set,Ice,,100,Puka Nacua,0,
106,Sprinkler,First Edition,Base Set,Ice,,100,Luis Arraez,0,
107,Foxhole,First Edition,Base Set,Ice,,100,De'Aaron Fox,0,
108,Thomstone,First Edition,Base Set,Ice,,100,Brian Thomas Jr,0,
109,Botto,First Edition,Base Set,Ice,,95,Joey Votto,0,
110,Lawman,First Edition,Base Set,Ice,,95,Trevor Lawrence,0,
111,Barnacle,First Edition,Base Set,Ice,,95,Scottie Barnes,0,
112,Laviathan,First Edition,Base Set,Ice,,95,Zach Lavine,0,
113,Breeze,First Edition,Base Set,Ice,,95,Breece Hall,0,
114,Gravedigger,First Edition,Base Set,Ice,,95,Stefon Diggs,0,
115,D-Hop,First Edition,Base Set,Ice,,90,Deandre Hopkins,0,
116,Alien,First Edition,Base Set,Ice,,90,CJ Abrams,0,
117,Portalize,First Edition,Base Set,Ice,,90,Sam Laporta,0,
118,Torque,First Edition,Base Set,Ice,,90,Spencer Torkelson,0,
119,Risarcher,First Edition,Base Set,Ice,,90,Zaccharie Risacher,0,
120,Sarrtillery,First Edition,Base Set,Ice,,90,Alexandre Sarr,0,
121,LeBoss,First Edition,Base Set,Steel,,130,Lebron James,0,
122,Merlomes,First Edition,Base Set,Steel,,130,Patrick Mahomes,0,
123,Chosen,First Edition,Base Set,Steel,,130,Juan Soto,0,
124,Midas,First Edition,Base Set,Steel,,130,Steph Curry,0,
125,Bison,First Edition,Base Set,Steel,,130,Josh Allen,0,
126,Wargod,First Edition,Base Set,Steel,,130,Mike Trout,0,
127,Donny Buckets,First Edition,Base Set,Steel,,125,Luka Doncic,0,
128,Warp,First Edition,Base Set,Steel,,125,Lamar Jackson,0,
129,Harpoon,First Edition,Base Set,Steel,,125,Bryca Harper,0,
130,Mustang,First Edition,Base Set,Steel,,125,Nikola Jokic,0,
131,Jaybird,First Edition,Base Set,Steel,,125,Jayden Daniels,0,
132,J-Jetts,First Edition,Base Set,Steel,,125,Justin Jefferson,0,
133,Merri-Go-Round,First Edition,Base Set,Steel,,120,Jackson Marrill,0,
134,Shystep,First Edition,Base Set,Steel,,120,Shai Gilgeous-Alexander,0,
135,Ram,First Edition,Base Set,Steel,,120,Jose Ramirez,0,
136,Freakshow,First Edition,Base Set,Steel,,120,Giannis Anteokounmpo,0,
137,Lightningrod,First Edition,Base Set,Steel,,120,Julio Rodriguez,0,
138,Bayou,First Edition,Base Set,Steel,,120,Ja'marr Chase,0,
139,McArmyKnife,First Edition,Base Set,Steel,,115,Christian McCaffrey,0,
140,Tigre,First Edition,Base Set,Steel,,115,Miguel Cabrera,0,
141,Cheetah,First Edition,Base Set,Steel,,115,Tyreek Hill,0,
142,Spider,First Edition,Base Set,Steel,,115,Donovan Mitchell,0,
143,Crews-Missle,First Edition,Base Set,Steel,,115,Dylan Crews,0,
144,Unibrow,First Edition,Base Set,Steel,,115,Anthony Davis,0,
145,Exterminaber,First Edition,Base Set,Steel,,110,Malik Nabers,0,
146,Bomber,First Edition,Base Set,Steel,,110,Jordan Alvarez,0,
147,Juice,First Edition,Base Set,Steel,,110,Jaylen Brown,0,
148,Attak,First Edition,Base Set,Steel,,110,Dak Prescott,0,
149,ChetMate,First Edition,Base Set,Steel,,110,Chet Holmgren,0,
150,Phoenix,First Edition,Base Set,Steel,,110,Bo Nix,0,
151,Lieutenant,First Edition,Base Set,Steel,,105,Dansby Swanson,0,
152,Snowbear,First Edition,Base Set,Steel,,105,Pete Alonso,0,
153,Boltage,First Edition,Base Set,Steel,,105,Justin Herbert,0,
154,Librarian,First Edition,Base Set,Steel,,105,Devin Booker,0,
155,Aeronaut,First Edition,Base Set,Steel,,105,Nolan Arenado,0,
156,Sabotage,First Edition,Base Set,Steel,,105,Domantas Sabonis,0,
157,Mic'd Up,First Edition,Base Set,Steel,,100,MIke Evans,0,
158,Jambox,First Edition,Base Set,Steel,,100,Ja Morant,0,
159,Simon Says,First Edition,Base Set,Steel,,100,Anfernee Simons,0,
160,Mr. Irrelevant,First Edition,Base Set,Steel,,100,Brock Purdy,0,
161,Pantera,First Edition,Base Set,Steel,,100,Luis Robert Jr,0,
162,Rockstar,First Edition,Base Set,Steel,,100,Jazz Chisholm,0,
163,Big-Z,First Edition,Base Set,Steel,,95,Zion Williamson,0,
164,Clutch,First Edition,Base Set,Steel,,95,Andrew McCutchen,0,
165,PukaDot,First Edition,Base Set,Steel,,95,Puka Nacua,0,
166,Sprinkler,First Edition,Base Set,Steel,,95,Luis Arraez,0,
167,Foxhole,First Edition,Base Set,Steel,,95,De'Aaron Fox,0,
168,Thomstone,First Edition,Base Set,Steel,,95,Brian Thomas Jr,0,
169,Botto,First Edition,Base Set,Steel,,90,Joey Votto,0,
170,Lawman,First Edition,Base Set,Steel,,90,Trevor Lawrence,0,
171,Barnacle,First Edition,Base Set,Steel,,90,Scottie Barnes,0,
172,Laviathan,First Edition,Base Set,Steel,,90,Zach Lavine,0,
173,Breeze,First Edition,Base Set,Steel,,90,Breece Hall,0,
174,Gravedigger,First Edition,Base Set,Steel,,90,Stefon Diggs,0,
175,D-Hop,First Edition,Base Set,Steel,,85,Deandre Hopkins,0,
176,Alien,First Edition,Base Set,Steel,,85,CJ Abrams,0,
177,Portalize,First Edition,Base Set,Steel,,85,Sam Laporta,0,
178,Torque,First Edition,Base Set,Steel,,85,Spencer Torkelson,0,
179,Risarcher,First Edition,Base Set,Steel,,85,Zaccharie Risacher,0,
180,Sarrtillery,First Edition,Base Set,Steel,,85,Alexandre Sarr,0,
BF-1,LeBoss,First Edition,Battlefoil,Hex,SSP,185,Lebron James,0,
BF-2,Merlomes,First Edition,Battlefoil,Hex,SSP,185,Patrick Mahomes,0,
BF-3,Chosen,First Edition,Battlefoil,Hex,SSP,185,Juan Soto,0,
BF-4,Midas,First Edition,Battlefoil,Hex,SSP,185,Steph Curry,0,
BF-5,Bison,First Edition,Battlefoil,Hex,SSP,185,Josh Allen,0,
BF-6,Wargod,First Edition,Battlefoil,Hex,SSP,185,Mike Trout,0,
BF-7,Donny Buckets,First Edition,Battlefoil,Hex,SSP,180,Luka Doncic,0,
BF-8,Warp,First Edition,Battlefoil,Hex,SSP,180,Lamar Jackson,0,
BF-9,Harpoon,First Edition,Battlefoil,Hex,SSP,180,Bryca Harper,0,
BF-10,Mustang,First Edition,Battlefoil,Hex,SSP,180,Nikola Jokic,0,
BF-11,Jaybird,First Edition,Battlefoil,Hex,SSP,180,Jayden Daniels,0,
BF-12,J-Jetts,First Edition,Battlefoil,Hex,SSP,180,Justin Jefferson,0,
BF-13,Merri-Go-Round,First Edition,Battlefoil,Hex,SSP,175,Jackson Marrill,0,
BF-14,Shystep,First Edition,Battlefoil,Hex,SSP,175,Shai Gilgeous-Alexander,0,
BF-15,Ram,First Edition,Battlefoil,Hex,SSP,175,Jose Ramirez,0,
BF-16,Freakshow,First Edition,Battlefoil,Hex,SSP,175,Giannis Anteokounmpo,0,
BF-17,Lightningrod,First Edition,Battlefoil,Hex,SSP,175,Julio Rodriguez,0,
BF-18,Bayou,First Edition,Battlefoil,Hex,SSP,175,Ja'marr Chase,0,
BF-19,McArmyKnife,First Edition,Battlefoil,Hex,SSP,170,Christian McCaffrey,0,
BF-20,Tigre,First Edition,Battlefoil,Hex,SSP,170,Miguel Cabrera,0,
BF-21,Cheetah,First Edition,Battlefoil,Hex,SSP,170,Tyreek Hill,0,
BF-22,Spider,First Edition,Battlefoil,Hex,SSP,170,Donovan Mitchell,0,
BF-23,Crews-Missle,First Edition,Battlefoil,Hex,SSP,170,Dylan Crews,0,
BF-24,Unibrow,First Edition,Battlefoil,Hex,SSP,170,Anthony Davis,0,
BF-25,Exterminaber,First Edition,Battlefoil,Hex,SSP,165,Malik Nabers,0,
BF-26,Bomber,First Edition,Battlefoil,Hex,SSP,165,Jordan Alvarez,0,
BF-27,Juice,First Edition,Battlefoil,Hex,SSP,165,Jaylen Brown,0,
BF-28,Attak,First Edition,Battlefoil,Hex,SSP,165,Dak Prescott,0,
BF-29,ChetMate,First Edition,Battlefoil,Hex,SSP,165,Chet Holmgren,0,
BF-30,Phoenix,First Edition,Battlefoil,Hex,SSP,165,Bo Nix,0,
BF-31,Lieutenant,First Edition,Battlefoil,Hex,SSP,160,Dansby Swanson,0,
BF-32,Snowbear,First Edition,Battlefoil,Hex,SSP,160,Pete Alonso,0,
BF-33,Boltage,First Edition,Battlefoil,Hex,SSP,160,Justin Herbert,0,
BF-34,Librarian,First Edition,Battlefoil,Hex,SSP,160,Devin Booker,0,
BF-35,Aeronaut,First Edition,Battlefoil,Hex,SSP,160,Nolan Arenado,0,
BF-36,Sabotage,First Edition,Battlefoil,Hex,SSP,160,Domantas Sabonis,0,
BF-37,Mic'd Up,First Edition,Battlefoil,Hex,SSP,155,MIke Evans,0,
BF-38,Jambox,First Edition,Battlefoil,Hex,SSP,155,Ja Morant,0,
BF-39,Simon Says,First Edition,Battlefoil,Hex,SSP,155,Anfernee Simons,0,
BF-40,Mr. Irrelevant,First Edition,Battlefoil,Hex,SSP,155,Brock Purdy,0,
BF-41,Pantera,First Edition,Battlefoil,Hex,SSP,155,Luis Robert Jr,0,
BF-42,Rockstar,First Edition,Battlefoil,Hex,SSP,155,Jazz Chisholm,0,
BF-43,Big-Z,First Edition,Battlefoil,Hex,SSP,150,Zion Williamson,0,
BF-44,Clutch,First Edition,Battlefoil,Hex,SSP,150,Andrew McCutchen,0,
BF-45,PukaDot,First Edition,Battlefoil,Hex,SSP,150,Puka Nacua,0,
BF-46,Sprinkler,First Edition,Battlefoil,Hex,SSP,150,Luis Arraez,0,
BF-47,Foxhole,First Edition,Battlefoil,Hex,SSP,150,De'Aaron Fox,0,
BF-48,Thomstone,First Edition,Battlefoil,Hex,SSP,150,Brian Thomas Jr,0,
BF-49,Botto,First Edition,Battlefoil,Hex,SSP,145,Joey Votto,0,
BF-50,Lawman,First Edition,Battlefoil,Hex,SSP,145,Trevor Lawrence,0,
BF-51,Barnacle,First Edition,Battlefoil,Hex,SSP,145,Scottie Barnes,0,
BF-52,Laviathan,First Edition,Battlefoil,Hex,SSP,145,Zach Lavine,0,
BF-53,Breeze,First Edition,Battlefoil,Hex,SSP,145,Breece Hall,0,
BF-54,Gravedigger,First Edition,Battlefoil,Hex,SSP,145,Stefon Diggs,0,
BF-55,D-Hop,First Edition,Battlefoil,Hex,SSP,140,Deandre Hopkins,0,
BF-56,Alien,First Edition,Battlefoil,Hex,SSP,140,CJ Abrams,0,
BF-57,Portalize,First Edition,Battlefoil,Hex,SSP,140,Sam Laporta,0,
BF-58,Torque,First Edition,Battlefoil,Hex,SSP,140,Spencer Torkelson,0,
BF-59,Risarcher,First Edition,Battlefoil,Hex,SSP,140,Zaccharie Risacher,0,
BF-60,Sarrtillery,First Edition,Battlefoil,Hex,SSP,140,Alexandre Sarr,0,
BF-61,LeBoss,First Edition,Battlefoil,Glow,,140,Lebron James,0,
BF-62,Merlomes,First Edition,Battlefoil,Glow,,140,Patrick Mahomes,0,
BF-63,Chosen,First Edition,Battlefoil,Glow,,140,Juan Soto,0,
BF-64,Midas,First Edition,Battlefoil,Glow,,140,Steph Curry,0,
BF-65,Bison,First Edition,Battlefoil,Glow,,140,Josh Allen,0,
BF-66,Wargod,First Edition,Battlefoil,Glow,,140,Mike Trout,0,
BF-67,Donny Buckets,First Edition,Battlefoil,Glow,,135,Luka Doncic,0,
BF-68,Warp,First Edition,Battlefoil,Glow,,135,Lamar Jackson,0,
BF-69,Harpoon,First Edition,Battlefoil,Glow,,135,Bryca Harper,0,
BF-70,Mustang,First Edition,Battlefoil,Glow,,135,Nikola Jokic,0,
BF-71,Jaybird,First Edition,Battlefoil,Glow,,135,Jayden Daniels,0,
BF-72,J-Jetts,First Edition,Battlefoil,Glow,,135,Justin Jefferson,0,
BF-73,Merri-Go-Round,First Edition,Battlefoil,Glow,,130,Jackson Marrill,0,
BF-74,Shystep,First Edition,Battlefoil,Glow,,130,Shai Gilgeous-Alexander,0,
BF-75,Ram,First Edition,Battlefoil,Glow,,130,Jose Ramirez,0,
BF-76,Freakshow,First Edition,Battlefoil,Glow,,130,Giannis Anteokounmpo,0,
BF-77,Lightningrod,First Edition,Battlefoil,Glow,,130,Julio Rodriguez,0,
BF-78,Bayou,First Edition,Battlefoil,Glow,,130,Ja'marr Chase,0,
BF-79,McArmyKnife,First Edition,Battlefoil,Glow,,125,Christian McCaffrey,0,
BF-80,Tigre,First Edition,Battlefoil,Glow,,125,Miguel Cabrera,0,
BF-81,Cheetah,First Edition,Battlefoil,Glow,,125,Tyreek Hill,0,
BF-82,Spider,First Edition,Battlefoil,Glow,,125,Donovan Mitchell,0,
BF-83,Crews-Missle,First Edition,Battlefoil,Glow,,125,Dylan Crews,0,
BF-84,Unibrow,First Edition,Battlefoil,Glow,,125,Anthony Davis,0,
BF-85,Exterminaber,First Edition,Battlefoil,Glow,,120,Malik Nabers,0,
BF-86,Bomber,First Edition,Battlefoil,Glow,,120,Jordan Alvarez,0,
BF-87,Juice,First Edition,Battlefoil,Glow,,120,Jaylen Brown,0,
BF-88,Attak,First Edition,Battlefoil,Glow,,120,Dak Prescott,0,
BF-89,ChetMate,First Edition,Battlefoil,Glow,,120,Chet Holmgren,0,
BF-90,Phoenix,First Edition,Battlefoil,Glow,,120,Bo Nix,0,
BF-91,Lieutenant,First Edition,Battlefoil,Glow,,115,Dansby Swanson,0,
BF-92,Snowbear,First Edition,Battlefoil,Glow,,115,Pete Alonso,0,
BF-93,Boltage,First Edition,Battlefoil,Glow,,115,Justin Herbert,0,
BF-94,Librarian,First Edition,Battlefoil,Glow,,115,Devin Booker,0,
BF-95,Aeronaut,First Edition,Battlefoil,Glow,,115,Nolan Arenado,0,
BF-96,Sabotage,First Edition,Battlefoil,Glow,,115,Domantas Sabonis,0,
BF-97,Mic'd Up,First Edition,Battlefoil,Glow,,110,MIke Evans,0,
BF-98,Jambox,First Edition,Battlefoil,Glow,,110,Ja Morant,0,
BF-99,Simon Says,First Edition,Battlefoil,Glow,,110,Anfernee Simons,0,
BF-100,Mr. Irrelevant,First Edition,Battlefoil,Glow,,110,Brock Purdy,0,
BF-101,Pantera,First Edition,Battlefoil,Glow,,110,Luis Robert Jr,0,
BF-102,Rockstar,First Edition,Battlefoil,Glow,,110,Jazz Chisholm,0,
BF-103,Big-Z,First Edition,Battlefoil,Glow,,105,Zion Williamson,0,
BF-104,Clutch,First Edition,Battlefoil,Glow,,105,Andrew McCutchen,0,
BF-105,PukaDot,First Edition,Battlefoil,Glow,,105,Puka Nacua,0,
BF-106,Sprinkler,First Edition,Battlefoil,Glow,,105,Luis Arraez,0,
BF-107,Foxhole,First Edition,Battlefoil,Glow,,105,De'Aaron Fox,0,
BF-108,Thomstone,First Edition,Battlefoil,Glow,,105,Brian Thomas Jr,0,
BF-109,Botto,First Edition,Battlefoil,Glow,,100,Joey Votto,0,
BF-110,Lawman,First Edition,Battlefoil,Glow,,100,Trevor Lawrence,0,
BF-111,Barnacle,First Edition,Battlefoil,Glow,,100,Scottie Barnes,0,
BF-112,Laviathan,First Edition,Battlefoil,Glow,,100,Zach Lavine,0,
BF-113,Breeze,First Edition,Battlefoil,Glow,,100,Breece Hall,0,
BF-114,Gravedigger,First Edition,Battlefoil,Glow,,100,Stefon Diggs,0,
BF-115,D-Hop,First Edition,Battlefoil,Glow,,95,Deandre Hopkins,0,
BF-116,Alien,First Edition,Battlefoil,Glow,,95,CJ Abrams,0,
BF-117,Portalize,First Edition,Battlefoil,Glow,,95,Sam Laporta,0,
BF-118,Torque,First Edition,Battlefoil,Glow,,95,Spencer Torkelson,0,
BF-119,Risarcher,First Edition,Battlefoil,Glow,,95,Zaccharie Risacher,0,
BF-120,Sarrtillery,First Edition,Battlefoil,Glow,,95,Alexandre Sarr,0,
BF-121,LeBoss,First Edition,Battlefoil,Fire,,135,Lebron James,0,
BF-122,Merlomes,First Edition,Battlefoil,Fire,,135,Patrick Mahomes,0,
BF-123,Chosen,First Edition,Battlefoil,Fire,,135,Juan Soto,0,
BF-124,Midas,First Edition,Battlefoil,Fire,,135,Steph Curry,0,
BF-125,Bison,First Edition,Battlefoil,Fire,,135,Josh Allen,0,
BF-126,Wargod,First Edition,Battlefoil,Fire,,135,Mike Trout,0,
BF-127,Donny Buckets,First Edition,Battlefoil,Fire,,130,Luka Doncic,0,
BF-128,Warp,First Edition,Battlefoil,Fire,,130,Lamar Jackson,0,
BF-129,Harpoon,First Edition,Battlefoil,Fire,,130,Bryca Harper,0,
BF-130,Mustang,First Edition,Battlefoil,Fire,,130,Nikola Jokic,0,
BF-131,Jaybird,First Edition,Battlefoil,Fire,,130,Jayden Daniels,0,
BF-132,J-Jetts,First Edition,Battlefoil,Fire,,130,Justin Jefferson,0,
BF-133,Merri-Go-Round,First Edition,Battlefoil,Fire,,125,Jackson Marrill,0,
BF-134,Shystep,First Edition,Battlefoil,Fire,,125,Shai Gilgeous-Alexander,0,
BF-135,Ram,First Edition,Battlefoil,Fire,,125,Jose Ramirez,0,
BF-136,Freakshow,First Edition,Battlefoil,Fire,,125,Giannis Anteokounmpo,0,
BF-137,Lightningrod,First Edition,Battlefoil,Fire,,125,Julio Rodriguez,0,
BF-138,Bayou,First Edition,Battlefoil,Fire,,125,Ja'marr Chase,0,
BF-139,McArmyKnife,First Edition,Battlefoil,Fire,,120,Christian McCaffrey,0,
BF-140,Tigre,First Edition,Battlefoil,Fire,,120,Miguel Cabrera,0,
BF-141,Cheetah,First Edition,Battlefoil,Fire,,120,Tyreek Hill,0,
BF-142,Spider,First Edition,Battlefoil,Fire,,120,Donovan Mitchell,0,
BF-143,Crews-Missle,First Edition,Battlefoil,Fire,,120,Dylan Crews,0,
BF-144,Unibrow,First Edition,Battlefoil,Fire,,120,Anthony Davis,0,
BF-145,Exterminaber,First Edition,Battlefoil,Fire,,115,Malik Nabers,0,
BF-146,Bomber,First Edition,Battlefoil,Fire,,115,Jordan Alvarez,0,
BF-147,Juice,First Edition,Battlefoil,Fire,,115,Jaylen Brown,0,
BF-148,Attak,First Edition,Battlefoil,Fire,,115,Dak Prescott,0,
BF-149,ChetMate,First Edition,Battlefoil,Fire,,115,Chet Holmgren,0,
BF-150,Phoenix,First Edition,Battlefoil,Fire,,115,Bo Nix,0,
BF-151,Lieutenant,First Edition,Battlefoil,Fire,,110,Dansby Swanson,0,
BF-152,Snowbear,First Edition,Battlefoil,Fire,,110,Pete Alonso,0,
BF-153,Boltage,First Edition,Battlefoil,Fire,,110,Justin Herbert,0,
BF-154,Librarian,First Edition,Battlefoil,Fire,,110,Devin Booker,0,
BF-155,Aeronaut,First Edition,Battlefoil,Fire,,110,Nolan Arenado,0,
BF-156,Sabotage,First Edition,Battlefoil,Fire,,110,Domantas Sabonis,0,
BF-157,Mic'd Up,First Edition,Battlefoil,Fire,,105,MIke Evans,0,
BF-158,Jambox,First Edition,Battlefoil,Fire,,105,Ja Morant,0,
BF-159,Simon Says,First Edition,Battlefoil,Fire,,105,Anfernee Simons,0,
BF-160,Mr. Irrelevant,First Edition,Battlefoil,Fire,,105,Brock Purdy,0,
BF-161,Pantera,First Edition,Battlefoil,Fire,,105,Luis Robert Jr,0,
BF-162,Rockstar,First Edition,Battlefoil,Fire,,105,Jazz Chisholm,0,
BF-163,Big-Z,First Edition,Battlefoil,Fire,,100,Zion Williamson,0,
BF-164,Clutch,First Edition,Battlefoil,Fire,,100,Andrew McCutchen,0,
BF-165,PukaDot,First Edition,Battlefoil,Fire,,100,Puka Nacua,0,
BF-166,Sprinkler,First Edition,Battlefoil,Fire,,100,Luis Arraez,0,
BF-167,Foxhole,First Edition,Battlefoil,Fire,,100,De'Aaron Fox,0,
BF-168,Thomstone,First Edition,Battlefoil,Fire,,100,Brian Thomas Jr,0,
BF-169,Botto,First Edition,Battlefoil,Fire,,95,Joey Votto,0,
BF-170,Lawman,First Edition,Battlefoil,Fire,,95,Trevor Lawrence,0,
