Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
BL-P87,Joey Jawz,Joey Chestnut Debut,PINK BLAST,HEX,,190,Joey Chestnut,0,
BL-P88,Bus,Jerome Bettis Debut,PINK BLAST,HEX,,190,Jerome Bettis,0,
BL-P89,Chicken Man,Wade Boggs Debut,PINK BLAST,HEX,,190,Wade Boggs,0,
BL-P90,HowBout'em,Jimmy Johnson Debut,PINK BLAST,HEX,,190,Jimmy Johnson,0,
BL-P91,Sea-Largent,Steve Largent Debut,PINK BLAST,HEX,,185,Steve Largent,0,
BL-P92,Howietzer,Howie Long Debut,PINK BLAST,HEX,,185,Howie Long,0,
BL-P93,Goggles,Eric Dickerson Debut,PINK BLAST,HEX,,185,Eric Dickerson,0,
BL-P94,Steady Eddie,Eddie George Debut,PINK BLAST,HEX,,185,Eddie George,0,
BL-P95,X.L.,Xavier Legette Alpha Update,PINK BLAST,HEX,,185,Xavier Legette,0,
BL-P96,Pet Dog,Ethan Petry Debut,PINK BLAST,HEX,,185,Ethan Petry,0,
BL-P97,Windmill,Dominique Wilkins Debut,PINK BLAST,HEX,,185,Dominique Wilkins,0,
BL-P98,Boom,Boomer Esiason Debut,PINK BLAST,HEX,,185,Boomer Esiason,0,
BL-P99,Cameleon,Cameron Brink Debut,PINK BLAST,HEX,,185,Cameron Brink,0,
BL-P100,Curaçao Kid,Anduw Jones Debut,PINK BLAST,HEX,,180,Anduw Jones,0,
BL-P101,Sterling,Sterling Sharpe Debut,PINK BLAST,HEX,,180,Sterling Sharpe,0,
BL-P102,Caveman,Johnny Damon Debut,PINK BLAST,HEX,,180,Johnny Damon,0,
BL-P103,Lady Magic,Nancy Lieberman Debut,PINK BLAST,HEX,,180,Nancy Lieberman,0,
BL-P104,Hoge-Ball,Merril Hoge Debut,PINK BLAST,HEX,,175,Merril Hoge,0,
BL-P105,InVinceable,Vince Young Debut,PINK BLAST,HEX,,175,Vince Young,0,
BL-P106,Slash,Kordell Stewart Debut,PINK BLAST,HEX,,175,Kordell Stewart,0,
BL-P107,Tikoff,Fred Biletnikoff Debut,PINK BLAST,HEX,,175,Fred Biletnikoff,0,
BL-P108,Bone,Jay Buhner Debut,PINK BLAST,HEX,,175,Jay Buhner,0,
BL-P109,Kurse,Jevon Kearse Debut,PINK BLAST,HEX,,170,Jevon Kearse,0,
BL-P110,Deep Freeze,George Gervin Debut,PINK BLAST,HEX,,170,George Gervin,0,
BL-P111,Woody,Darren Woodson Debut,PINK BLAST,HEX,,170,Darren Woodson,0,
BL-P112,Coopanova,Cynthia Cooper Debut,PINK BLAST,HEX,,170,Cynthia Cooper,0,
BL-P113,Hard-Drive,Tim Hardaway Debut,PINK BLAST,HEX,,170,Tim Hardaway,0,
BL-P114,BuckShot,Buck Showalter Debut,PINK BLAST,HEX,,170,Buck Showalter,0,
BL-P115,Haymaker,Spencer Haywood Debut,PINK BLAST,HEX,,170,Spencer Haywood,0,
BL-P116,Tank,Bo Said So,PINK BLAST,HEX,,200,Derrick Henry,0,
BL-P117,Skeee,First Edition,PINK BLAST,HEX,,195,Paul Skenes,0,
BL-P118,AJax,First Edition,PINK BLAST,HEX,,195,A'ja Wilson,0,
BL-P119,LeBoss,First Edition,PINK BLAST,HEX,,185,Lebron James,0,
BL-P120,Merlomes,First Edition,PINK BLAST,HEX,,185,Patrick Mahomes,0,
BL-P121,Chosen,First Edition,PINK BLAST,HEX,,185,Juan Soto,0,
BL-P122,Midas,First Edition,PINK BLAST,HEX,,185,Steph Curry,0,
BL-P123,Bison,First Edition,PINK BLAST,HEX,,185,Josh Allen,0,
BL-P124,Wargod,First Edition,PINK BLAST,HEX,,185,Mike Trout,0,
BL-P125,Donny Buckets,First Edition,PINK BLAST,HEX,,180,Luka Doncic,0,
BL-P126,Warp,First Edition,PINK BLAST,HEX,,180,Lamar Jackson,0,
BL-P127,Harpoon,First Edition,PINK BLAST,HEX,,180,Bryca Harper,0,
BL-P128,Mustang,First Edition,PINK BLAST,HEX,,180,Nikola Jokic,0,
BL-P129,Jaybird,First Edition,PINK BLAST,HEX,,180,Jayden Daniels,0,
BL-P130,J-Jetts,First Edition,PINK BLAST,HEX,,180,Justin Jefferson,0,
BL-P131,Merri-Go-Round,First Edition,PINK BLAST,HEX,,175,Jackson Marrill,0,
BL-P132,Shystep,First Edition,PINK BLAST,HEX,,175,Shai Gilgeous-Alexander,0,
BL-P133,Ram,First Edition,PINK BLAST,HEX,,175,Jose Ramirez,0,
BL-P134,Freakshow,First Edition,PINK BLAST,HEX,,175,Giannis Anteokounmpo,0,
BL-P135,Lightningrod,First Edition,PINK BLAST,HEX,,175,Julio Rodriguez,0,
BL-P136,Bayou,First Edition,PINK BLAST,HEX,,175,Ja'marr Chase,0,
BL-P137,McArmyKnife,First Edition,PINK BLAST,HEX,,170,Christian McCaffrey,0,
BL-P138,Tigre,First Edition,PINK BLAST,HEX,,170,Miguel Cabrera,0,
BL-P139,Cheetah,First Edition,PINK BLAST,HEX,,170,Tyreek Hill,0,
BL-P140,Spider,First Edition,PINK BLAST,HEX,,170,Donovan Mitchell,0,
BL-P141,Crews-Missle,First Edition,PINK BLAST,HEX,,170,Dylan Crews,0,
BL-P142,Unibrow,First Edition,PINK BLAST,HEX,,170,Anthony Davis,0,
BL-P143,Exterminaber,First Edition,PINK BLAST,HEX,,165,Malik Nabers,0,
BL-P144,Bomber,First Edition,PINK BLAST,HEX,,165,Jordan Alvarez,0,
BL-P145,Juice,First Edition,PINK BLAST,HEX,,165,Jaylen Brown,0,
BL-P146,Attak,First Edition,PINK BLAST,HEX,,165,Dak Prescott,0,
BL-P147,ChetMate,First Edition,PINK BLAST,HEX,,165,Chet Holmgren,0,
BL-P148,Phoenix,First Edition,PINK BLAST,HEX,,165,Bo Nix,0,
BL-P149,Lieutenant,First Edition,PINK BLAST,HEX,,160,Dansby Swanson,0,
BL-P150,Snowbear,First Edition,PINK BLAST,HEX,,160,Pete Alonso,0,
BL-P151,Boltage,First Edition,PINK BLAST,HEX,,160,Justin Herbert,0,
BL-P152,Librarian,First Edition,PINK BLAST,HEX,,160,Devin Booker,0,
BL-P153,Aeronaut,First Edition,PINK BLAST,HEX,,160,Nolan Arenado,0,
BL-P154,Sabotage,First Edition,PINK BLAST,HEX,,160,Domantas Sabonis,0,
BL-P155,Mic'd Up,First Edition,PINK BLAST,HEX,,155,MIke Evans,0,
BL-P156,Jambox,First Edition,PINK BLAST,HEX,,155,Ja Morant,0,
BL-P157,Simon Says,First Edition,PINK BLAST,HEX,,155,Anfernee Simons,0,
BL-P158,Mr. Irrelevant,First Edition,PINK BLAST,HEX,,155,Brock Purdy,0,
BL-P159,Pantera,First Edition,PINK BLAST,HEX,,155,Luis Robert Jr,0,
BL-P160,Rockstar,First Edition,PINK BLAST,HEX,,155,Jazz Chisholm,0,
BL-P161,Big-Z,First Edition,PINK BLAST,HEX,,150,Zion Williamson,0,
BL-P162,Clutch,First Edition,PINK BLAST,HEX,,150,Andrew McCutchen,0,
BL-P163,PukaDot,First Edition,PINK BLAST,HEX,,150,Puka Nacua,0,
BL-P164,Sprinkler,First Edition,PINK BLAST,HEX,,150,Luis Arraez,0,
BL-P165,Foxhole,First Edition,PINK BLAST,HEX,,150,De'Aaron Fox,0,
BL-P166,Thomstone,First Edition,PINK BLAST,HEX,,150,Brian Thomas Jr,0,
BL-P167,Botto,First Edition,PINK BLAST,HEX,,145,Joey Votto,0,
BL-P168,Lawman,First Edition,PINK BLAST,HEX,,145,Trevor Lawrence,0,
BL-P169,Barnacle,First Edition,PINK BLAST,HEX,,145,Scottie Barnes,0,
BL-P170,Laviathan,First Edition,PINK BLAST,HEX,,145,Zach Lavine,0,
BL-P171,Breeze,First Edition,PINK BLAST,HEX,,145,Breece Hall,0,
BL-P172,Gravedigger,First Edition,PINK BLAST,HEX,,145,Stefon Diggs,0,
BL-P173,D-Hop,First Edition,PINK BLAST,HEX,,140,Deandre Hopkins,0,
BL-P174,Alien,First Edition,PINK BLAST,HEX,,140,CJ Abrams,0,
BL-P175,Portalize,First Edition,PINK BLAST,HEX,,140,Sam Laporta,0,
BL-P176,Torque,First Edition,PINK BLAST,HEX,,140,Spencer Torkelson,0,
BL-P177,Risarcher,First Edition,PINK BLAST,HEX,,140,Zaccharie Risacher,0,
BL-P178,Sarrtillery,First Edition,PINK BLAST,HEX,,140,Alexandre Sarr,0,
Billy-23,Billy,First Edition,PINK BLAST,HEX,,200,Billy the Pug,0,
CJ-23,CJ Maddux,First Edition,PINK BLAST,HEX,,200,CJ Maddux,0,
BL-SK1,Bombeezy,Emillio Estevez Debut,PINK BLAST,HEX,,200,Emillio Estevez,0,
BL-BG1,Bojax,Founding Hero,BUBBLEGUM BLAST,GUM,,200,Bo Jackson,0,
BL-BG2,A.I.,Allen Iverson Debut,BUBBLEGUM BLAST,GUM,,200,Allen Iverson,0,
BL-BG3,Young-Gunner,Steve Young Debut,BUBBLEGUM BLAST,GUM,,200,Steve Young,0,
BL-BG4,Leducky,Brandi Chastain Debut,BUBBLEGUM BLAST,GUM,,200,Katie Ledecky,0,
BL-BG5,Boz,Brian Bosworth Debut,BUBBLEGUM BLAST,GUM,,195,Brian Bosworth,0,
BL-BG6,Cruschman,Adley Rutshman Debut,BUBBLEGUM BLAST,GUM,,195,Adley Rutschman,0,
BL-BG7,Allenwrench,Marcus Allen Debut,BUBBLEGUM BLAST,GUM,,195,Marcus Allen,0,
BL-BG8,Star-Bach,Roger Staubach Debut,BUBBLEGUM BLAST,GUM,,190,Roger Staubach,0,
BL-BG9,Grand-Ma-Ma,Larry Johnson Debut,BUBBLEGUM BLAST,GUM,,190,Larry Johnson,0,
BL-BG10,Amon-Ra,Amon-Ra St. Brown Debut,BUBBLEGUM BLAST,GUM,,190,Amon-Ra St. Brown,0,
BL-BG11,Waddler,Jaylen Waddle Debut,BUBBLEGUM BLAST,GUM,,185,Jaylen Waddle,0,
BL-BG12,Donnie Baseball,Don Mattingly Debut,BUBBLEGUM BLAST,GUM,,185,Don Mattingly,0,
BL-BG13,Boshpit,Chris Bosh Debut,BUBBLEGUM BLAST,GUM,,185,Chris Bosh,0,
BL-BG14,Thurmanator,Thuman Thomas Debut,BUBBLEGUM BLAST,GUM,,180,Thurman Thomas,0,
BL-BG15,Flutie,Doug Flutie Debut,BUBBLEGUM BLAST,GUM,,180,Doug Flutie,0,
BL-BG16,Green-Machine,Jalen Green Debut,BUBBLEGUM BLAST,GUM,,180,Jalen Green,0,
BL-BG17,KAT,Karl-Anthony Towns Debut,BUBBLEGUM BLAST,GUM,,180,Karl-Anthony Towns,0,
BL-BG18,Mean-Joe,Joe Greene Debut,BUBBLEGUM BLAST,GUM,,180,Mean Joe Greene,0,
BL-BG19,Chief,Robert Parish Debut,BUBBLEGUM BLAST,GUM,,180,Robert Parish,0,
BL-BG20,Thrill,Will Clark Debut,BUBBLEGUM BLAST,GUM,,175,Will Clark,0,
BL-BG21,Frostebite,Trae Young Debut,BUBBLEGUM BLAST,GUM,,175,Trae Young,0,
BL-BG22,Blockhale,Kevin McHale Debut,BUBBLEGUM BLAST,GUM,,175,Kevin Mchale,0,
BL-BG23,Timmy,Tim Brown Debut,BUBBLEGUM BLAST,GUM,,175,Tim Brown,0,
BL-BG24,Palmer,Jim Palmer Debut,BUBBLEGUM BLAST,GUM,,175,Jim Palmer,0,
BL-BG25,Thighs Man,Joe Theisman,BUBBLEGUM BLAST,GUM,,175,Joe Theismann,0,
BL-BG26,Rodder,Rod Smith Debut,BUBBLEGUM BLAST,GUM,,170,Rod Smith,0,
BL-BG27,Awesome Dawson,Andre Dawson Debut,BUBBLEGUM BLAST,GUM,,170,Andre Dawson,0,
BL-BG28,Line-Art,Matt Leinart Debut,BUBBLEGUM BLAST,GUM,,170,Matt Leinart,0,
BL-BG29,Swoopes,Sheryl Swoopes Debut,BUBBLEGUM BLAST,GUM,,170,Sheryl Swoopes,0,
BL-BG30,Smoke,Dave Stewart Debut,BUBBLEGUM BLAST,GUM,,170,Dave Stewart,0,
BL-BG31,Man of Steal,Vince Coleman Debut,BUBBLEGUM BLAST,GUM,,170,Vince Coleman,0,
BL-BG32,Showtime,First Edition,BUBBLEGUM BLAST,GUM,,185,Shohei Ohtani,0,
BL-BG33,Matata,First Edition,BUBBLEGUM BLAST,GUM,,185,Ronald Acuna Jr.,0,
BL-BG34,Gaveler,First Edition,BUBBLEGUM BLAST,GUM,,185,Aaron Judge,0,
BL-BG35,Burrocious,First Edition,BUBBLEGUM BLAST,GUM,,185,Joe Burrow,0,
BL-BG36,Victory,First Edition,BUBBLEGUM BLAST,GUM,,185,Victor Wembenyama,0,
BL-BG37,Shrouded,First Edition,BUBBLEGUM BLAST,GUM,,180,CJ Stroud,0,
BL-BG38,Taze'em,First Edition,BUBBLEGUM BLAST,GUM,,180,Jayson Tatum,0,
BL-BG39,Caliber,First Edition,BUBBLEGUM BLAST,GUM,,180,Caleb Williams,0,
BL-BG40,C.C.,First Edition,BUBBLEGUM BLAST,GUM,,180,Caitlin Clark,0,
BL-BG41,Doublecheck,First Edition,BUBBLEGUM BLAST,GUM,,180,Aaron Rodgers,0,
BL-BG42,Cobra,First Edition,BUBBLEGUM BLAST,GUM,,175,Kevin Durant,0,
BL-BG43,Cruze-Control,First Edition,BUBBLEGUM BLAST,GUM,,175,Elly De La Cruz,0,
BL-BG44,Processor,First Edition,BUBBLEGUM BLAST,GUM,,175,Joel Embiid,0,
BL-BG45,Burner,First Edition,BUBBLEGUM BLAST,GUM,,175,Jalen Brunson,0,
BL-BG46,Cowboy,First Edition,BUBBLEGUM BLAST,GUM,,175,Corey Seager,0,
BL-BG47,Yeti,First Edition,BUBBLEGUM BLAST,GUM,,170,Travis Kelce,0,
BL-BG48,Tattoo,First Edition,BUBBLEGUM BLAST,GUM,,170,Fernando Tatis Jr.,0,
BL-BG49,Superbaby,First Edition,BUBBLEGUM BLAST,GUM,,170,Rafael Devers,0,
BL-BG50,Jeesaw,First Edition,BUBBLEGUM BLAST,GUM,,170,Najee Harris,0,
BL-BG51,Tongue-Twister,First Edition,BUBBLEGUM BLAST,GUM,,170,Tua Tagovailoa,0,
BL-BG52,Halo,First Edition,BUBBLEGUM BLAST,GUM,,165,Angel Reese,0,
BL-BG53,Eagle-Eye,First Edition,BUBBLEGUM BLAST,GUM,,165,Jalen Hurts,0,
BL-BG54,Turntable,First Edition,BUBBLEGUM BLAST,GUM,,165,Trea Turner,0,
BL-BG55,Bandelero,First Edition,BUBBLEGUM BLAST,GUM,,165,Paolo Banchero,0,
BL-BG56,Marverati,First Edition,BUBBLEGUM BLAST,GUM,,165,Marvin Harrison Jr.,0,
BL-BG57,Action,First Edition,BUBBLEGUM BLAST,GUM,,160,Jackson Holliday,0,
BL-BG58,Vampire,First Edition,BUBBLEGUM BLAST,GUM,,160,Vladimir Guerrero Jr.,0,
BL-BG59,Jeeves,First Edition,BUBBLEGUM BLAST,GUM,,160,Jimmy Butler,0,
BL-BG60,Carroller,First Edition,BUBBLEGUM BLAST,GUM,,160,Corbin Carroll,0,
BL-BG61,Draco,First Edition,BUBBLEGUM BLAST,GUM,,160,Drake Maye,0,
BL-BG62,Cha-Ching,First Edition,BUBBLEGUM BLAST,GUM,,155,Jackson Chourio,0,
BL-BG63,Time,First Edition,BUBBLEGUM BLAST,GUM,,155,Damian Lillard,0,
BL-BG64,Fungi,First Edition,BUBBLEGUM BLAST,GUM,,155,Kawhi Leonard,0,
BL-BG65,Wild Beard,First Edition,BUBBLEGUM BLAST,GUM,,155,James Harden,0,
BL-BG66,Shepherd,First Edition,BUBBLEGUM BLAST,GUM,,155,Ceedee Lamb,0,
BL-BG67,Ollie,First Edition,BUBBLEGUM BLAST,GUM,,150,Matt Olson,0,
BL-BG68,Tank,First Edition,BUBBLEGUM BLAST,GUM,,150,Derrick Henry,0,
BL-BG69,Grin,First Edition,BUBBLEGUM BLAST,GUM,,150,Fracisco Lindor,0,
BL-BG70,Bammer,First Edition,BUBBLEGUM BLAST,GUM,,150,Bam Adebayo,0,
BL-BG71,Barreler,First Edition,BUBBLEGUM BLAST,GUM,,150,Cooper Kupp,0,
BL-BG72,Cupid,First Edition,BUBBLEGUM BLAST,GUM,,145,Jordan Love,0,
BL-BG73,Javalanche,First Edition,BUBBLEGUM BLAST,GUM,,145,Jamal Murray,0,
BL-BG74,Bionic,First Edition,BUBBLEGUM BLAST,GUM,,145,Carlos Correa,0,
BL-BG75,Stitcher,First Edition,BUBBLEGUM BLAST,GUM,,145,Jonathan Taylor,0,
BL-BG76,Triple Threat,First Edition,BUBBLEGUM BLAST,GUM,,145,Lamelo Ball,0,
BL-BG77,BoJax,Founding Hero Alpha Update,BUBBLEGUM BLAST,GUM,,200,Bo Jackson,0,
BL-BG78,Magic,Magic Johnson Debut,BUBBLEGUM BLAST,GUM,,200,Magic Johnson,0,
BL-BG79,Emmitt-164,Emmitt Smith Debut,BUBBLEGUM BLAST,GUM,,200,Emmitt Smith,0,
BL-BG80,Marino,Dan Marino Debut,BUBBLEGUM BLAST,GUM,,200,Dan Marino,0,
BL-BG81,"Barry ""Cutback"" Sanders",Barry Sanders Debut,BUBBLEGUM BLAST,GUM,,200,Barry Sanders,0,
BL-BG82,Muggsy,Muggsy Bogues Debut,BUBBLEGUM BLAST,GUM,,195,Muggsy Bogues,0,
BL-BG83,Spudnick,Spudd Webb Debut,BUBBLEGUM BLAST,GUM,,195,Spudd Webb,0,
BL-BG84,The Ironman,Cal Ripkin JR Debut,BUBBLEGUM BLAST,GUM,,195,Cal Ripkin JR,0,
BL-BG85,Peek-A-Boo,Picabo Street Debut,BUBBLEGUM BLAST,GUM,,195,Picabo Street,0,
BL-BG86,Wizard,Ozzie Smith Debut,BUBBLEGUM BLAST,GUM,,190,Ozzie Smith,0,
BL-BG87,Joey Jawz,Joey Chestnut Debut,BUBBLEGUM BLAST,GUM,,190,Joey Chestnut,0,
BL-BG88,Bus,Jerome Bettis Debut,BUBBLEGUM BLAST,GUM,,190,Jerome Bettis,0,
BL-BG89,Chicken Man,Wade Boggs Debut,BUBBLEGUM BLAST,GUM,,190,Wade Boggs,0,
BL-BG90,HowBout'em,Jimmy Johnson Debut,BUBBLEGUM BLAST,GUM,,190,Jimmy Johnson,0,
BL-BG91,Sea-Largent,Steve Largent Debut,BUBBLEGUM BLAST,GUM,,185,Steve Largent,0,
BL-BG92,Howietzer,Howie Long Debut,BUBBLEGUM BLAST,GUM,,185,Howie Long,0,
BL-BG93,Goggles,Eric Dickerson Debut,BUBBLEGUM BLAST,GUM,,185,Eric Dickerson,0,
BL-BG94,Steady Eddie,Eddie George Debut,BUBBLEGUM BLAST,GUM,,185,Eddie George,0,
BL-BG95,X.L.,Xavier Legette Alpha Update,BUBBLEGUM BLAST,GUM,,185,Xavier Legette,0,
BL-BG96,Pet Dog,Ethan Petry Debut,BUBBLEGUM BLAST,GUM,,185,Ethan Petry,0,
BL-BG97,Windmill,Dominique Wilkins Debut,BUBBLEGUM BLAST,GUM,,185,Dominique Wilkins,0,
BL-BG98,Boom,Boomer Esiason Debut,BUBBLEGUM BLAST,GUM,,185,Boomer Esiason,0,
BL-BG99,Cameleon,Cameron Brink Debut,BUBBLEGUM BLAST,GUM,,185,Cameron Brink,0,
BL-BG100,Curaçao Kid,Anduw Jones Debut,BUBBLEGUM BLAST,GUM,,180,Anduw Jones,0,
BL-BG101,Sterling,Sterling Sharpe Debut,BUBBLEGUM BLAST,GUM,,180,Sterling Sharpe,0,
BL-BG102,Caveman,Johnny Damon Debut,BUBBLEGUM BLAST,GUM,,180,Johnny Damon,0,
