Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
75,Marverati,First Edition,Base Set,Steel,,110,Marvin Harrison Jr.,0,
76,Action,First Edition,Base Set,Fire,,110,Jackson Holliday,0,
77,Action,First Edition,Base Set,Ice,,110,Jackson Holliday,0,
78,Action,First Edition,Base Set,Steel,,105,Jackson Holliday,0,
79,Vampire,First Edition,Base Set,Fire,,110,Vladimir Guerrero Jr.,0,
80,Vampire,First Edition,Base Set,Ice,,110,Vladimir Guerrero Jr.,0,
81,Vampire,First Edition,Base Set,Steel,,105,Vladimir Guerrero Jr.,0,
82,Jeeves,First Edition,Base Set,Fire,,110,Jimmy Butler,0,
83,Jeeves,First Edition,Base Set,Ice,,110,Jimmy Butler,0,
84,Jeeves,First Edition,Base Set,Steel,,105,Jimmy Butler,0,
85,Carroller,First Edition,Base Set,Fire,,110,Corbin Carroll,0,
86,Carroller,First Edition,Base Set,Ice,,110,Corbin Carroll,0,
87,Carroller,First Edition,Base Set,Steel,,105,Corbin Carroll,0,
88,Draco,First Edition,Base Set,Fire,,110,Drake Maye,0,
89,Draco,First Edition,Base Set,Ice,,110,Drake Maye,0,
90,Draco,First Edition,Base Set,Steel,,105,Drake Maye,0,
91,Cha-Ching,First Edition,Base Set,Fire,,105,Jackson Chourio,0,
92,Cha-Ching,First Edition,Base Set,Ice,,105,Jackson Chourio,0,
93,Cha-Ching,First Edition,Base Set,Steel,,100,Jackson Chourio,0,
94,Time,First Edition,Base Set,Fire,,105,Damian Lillard,0,
95,Time,First Edition,Base Set,Ice,,105,Damian Lillard,0,
96,Time,First Edition,Base Set,Steel,,100,Damian Lillard,0,
97,Fungi,First Edition,Base Set,Fire,,105,Kawhi Leonard,0,
98,Fungi,First Edition,Base Set,Ice,,105,Kawhi Leonard,0,
99,Fungi,First Edition,Base Set,Steel,,100,Kawhi Leonard,0,
100,Wildbeard,First Edition,Base Set,Fire,,105,James Harden,0,
101,Wildbeard,First Edition,Base Set,Ice,,105,James Harden,0,
102,Wildbeard,First Edition,Base Set,Steel,,100,James Harden,0,
103,Shepherd,First Edition,Base Set,Fire,,105,Ceedee Lamb,0,
104,Shepherd,First Edition,Base Set,Ice,,105,Ceedee Lamb,0,
105,Shepherd,First Edition,Base Set,Steel,,100,Ceedee Lamb,0,
106,Ollie,First Edition,Base Set,Fire,,100,Matt Olson,0,
107,Ollie,First Edition,Base Set,Ice,,100,Matt Olson,0,
108,Ollie,First Edition,Base Set,Steel,,95,Matt Olson,0,
109,Tank,First Edition,Base Set,Fire,,100,Derrick Henry,0,
110,Tank,First Edition,Base Set,Ice,,100,Derrick Henry,0,
111,Tank,First Edition,Base Set,Steel,,95,Derrick Henry,0,
112,Grin,First Edition,Base Set,Fire,,100,Fracisco Lindor,0,
113,Grin,First Edition,Base Set,Ice,,100,Fracisco Lindor,0,
114,Grin,First Edition,Base Set,Steel,,95,Fracisco Lindor,0,
115,Bammer,First Edition,Base Set,Fire,,100,Bam Adebayo,0,
116,Bammer,First Edition,Base Set,Ice,,100,Bam Adebayo,0,
117,Bammer,First Edition,Base Set,Steel,,95,Bam Adebayo,0,
118,Barreler,First Edition,Base Set,Fire,,100,Cooper Kupp,0,
119,Barreler,First Edition,Base Set,Ice,,100,Cooper Kupp,0,
120,Barreler,First Edition,Base Set,Steel,,95,Cooper Kupp,0,
121,Cupid,First Edition,Base Set,Fire,,95,Jordan Love,0,
122,Cupid,First Edition,Base Set,Ice,,95,Jordan Love,0,
123,Cupid,First Edition,Base Set,Steel,,90,Jordan Love,0,
124,Javalanche,First Edition,Base Set,Fire,,95,Jamal Murray,0,
125,Javalanche,First Edition,Base Set,Ice,,95,Jamal Murray,0,
126,Javalanche,First Edition,Base Set,Steel,,90,Jamal Murray,0,
127,Bionic,First Edition,Base Set,Fire,,95,Carlos Correa,0,
128,Bionic,First Edition,Base Set,Ice,,95,Carlos Correa,0,
129,Bionic,First Edition,Base Set,Steel,,90,Carlos Correa,0,
130,Stitcher,First Edition,Base Set,Fire,,95,Jonathan Taylor,0,
131,Stitcher,First Edition,Base Set,Ice,,95,Jonathan Taylor,0,
132,Stitcher,First Edition,Base Set,Steel,,90,Jonathan Taylor,0,
133,Triple Threat,First Edition,Base Set,Fire,,95,Lamelo Ball,0,
134,Triple Threat,First Edition,Base Set,Ice,,95,Lamelo Ball,0,
135,Triple Threat,First Edition,Base Set,Steel,,90,Lamelo Ball,0,
BF-1,Showtime,First Edition,Battlefoil,Hex,,185,Shohei Ohtani,0,
BF-2,Showtime,First Edition,Battlefoil,GLOW,,140,Shohei Ohtani,0,
BF-3,Showtime,First Edition,Battlefoil,Fire,,135,Shohei Ohtani,0,
BF-4,Showtime,First Edition,Battlefoil,Ice,,135,Shohei Ohtani,0,
BF-5,Showtime,First Edition,Battlefoil,Steel,,130,Shohei Ohtani,0,
BF-6,Matata,First Edition,Battlefoil,Hex,,185,Ronald Acuna Jr.,0,
BF-7,Matata,First Edition,Battlefoil,GLOW,,140,Ronald Acuna Jr.,0,
BF-8,Matata,First Edition,Battlefoil,Fire,,135,Ronald Acuna Jr.,0,
BF-9,Matata,First Edition,Battlefoil,Ice,,135,Ronald Acuna Jr.,0,
BF-10,Matata,First Edition,Battlefoil,Steel,,130,Ronald Acuna Jr.,0,
BF-11,Gaveler,First Edition,Battlefoil,Hex,,185,Aaron Judge,0,
BF-12,Gaveler,First Edition,Battlefoil,GLOW,,140,Aaron Judge,0,
BF-13,Gaveler,First Edition,Battlefoil,Fire,,135,Aaron Judge,0,
BF-14,Gaveler,First Edition,Battlefoil,Ice,,135,Aaron Judge,0,
BF-15,Gaveler,First Edition,Battlefoil,Steel,,130,Aaron Judge,0,
BF-16,Burrocious,First Edition,Battlefoil,Hex,,185,Joe Burrow,0,
BF-17,Burrocious,First Edition,Battlefoil,GLOW,,140,Joe Burrow,0,
BF-18,Burrocious,First Edition,Battlefoil,Fire,,135,Joe Burrow,0,
BF-19,Burrocious,First Edition,Battlefoil,Ice,,135,Joe Burrow,0,
BF-20,Burrocious,First Edition,Battlefoil,Steel,,130,Joe Burrow,0,
BF-21,Victory,First Edition,Battlefoil,Hex,,185,Victor Wembenyama,0,
BF-22,Victory,First Edition,Battlefoil,GLOW,,140,Victor Wembenyama,0,
BF-23,Victory,First Edition,Battlefoil,Fire,,135,Victor Wembenyama,0,
BF-24,Victory,First Edition,Battlefoil,Ice,,135,Victor Wembenyama,0,
BF-25,Victory,First Edition,Battlefoil,Steel,,130,Victor Wembenyama,0,
BF-26,Shrouded,First Edition,Battlefoil,Hex,,180,CJ Stroud,0,
BF-27,Shrouded,First Edition,Battlefoil,GLOW,,135,CJ Stroud,0,
BF-28,Shrouded,First Edition,Battlefoil,Fire,,130,CJ Stroud,0,
BF-29,Shrouded,First Edition,Battlefoil,Ice,,130,CJ Stroud,0,
BF-30,Shrouded,First Edition,Battlefoil,Steel,,125,CJ Stroud,0,
BF-31,Taze'em,First Edition,Battlefoil,Hex,,180,Jayson Tatum,0,
BF-32,Taze'em,First Edition,Battlefoil,GLOW,,135,Jayson Tatum,0,
BF-33,Taze'em,First Edition,Battlefoil,Fire,,130,Jayson Tatum,0,
BF-34,Taze'em,First Edition,Battlefoil,Ice,,130,Jayson Tatum,0,
BF-35,Taze'em,First Edition,Battlefoil,Steel,,125,Jayson Tatum,0,
BF-36,Caliber,First Edition,Battlefoil,Hex,,180,Caleb Williams,0,
BF-37,Caliber,First Edition,Battlefoil,GLOW,,135,Caleb Williams,0,
BF-38,Caliber,First Edition,Battlefoil,Fire,,130,Caleb Williams,0,
BF-39,Caliber,First Edition,Battlefoil,Ice,,130,Caleb Williams,0,
BF-40,Caliber,First Edition,Battlefoil,Steel,,125,Caleb Williams,0,
BF-41,C.C.,First Edition,Battlefoil,Hex,,180,Caitlin Clark,0,
BF-42,C.C.,First Edition,Battlefoil,GLOW,,135,Caitlin Clark,0,
BF-43,C.C.,First Edition,Battlefoil,Fire,,130,Caitlin Clark,0,
BF-44,C.C.,First Edition,Battlefoil,Ice,,130,Caitlin Clark,0,
BF-45,C.C.,First Edition,Battlefoil,Steel,,125,Caitlin Clark,0,
BF-46,Doublecheck,First Edition,Battlefoil,Hex,,180,Aaron Rodgers,0,
BF-47,Doublecheck,First Edition,Battlefoil,GLOW,,135,Aaron Rodgers,0,
BF-48,Doublecheck,First Edition,Battlefoil,Fire,,130,Aaron Rodgers,0,
BF-49,Doublecheck,First Edition,Battlefoil,Ice,,130,Aaron Rodgers,0,
BF-50,Doublecheck,First Edition,Battlefoil,Steel,,125,Aaron Rodgers,0,
BF-51,Cobra,First Edition,Battlefoil,Hex,,175,Kevin Durant,0,
BF-52,Cobra,First Edition,Battlefoil,GLOW,,130,Kevin Durant,0,
BF-53,Cobra,First Edition,Battlefoil,Fire,,125,Kevin Durant,0,
BF-54,Cobra,First Edition,Battlefoil,Ice,,125,Kevin Durant,0,
BF-55,Cobra,First Edition,Battlefoil,Steel,,120,Kevin Durant,0,
BF-56,Cruze-Control,First Edition,Battlefoil,Hex,,175,Elly De La Cruz,0,
BF-57,Cruze-Control,First Edition,Battlefoil,GLOW,,130,Elly De La Cruz,0,
BF-58,Cruze-Control,First Edition,Battlefoil,Fire,,125,Elly De La Cruz,0,
BF-59,Cruze-Control,First Edition,Battlefoil,Ice,,125,Elly De La Cruz,0,
BF-60,Cruze-Control,First Edition,Battlefoil,Steel,,120,Elly De La Cruz,0,
BF-61,Processor,First Edition,Battlefoil,Hex,,175,Joel Embiid,0,
BF-62,Processor,First Edition,Battlefoil,GLOW,,130,Joel Embiid,0,
BF-63,Processor,First Edition,Battlefoil,Fire,,125,Joel Embiid,0,
BF-64,Processor,First Edition,Battlefoil,Ice,,125,Joel Embiid,0,
BF-65,Processor,First Edition,Battlefoil,Steel,,120,Joel Embiid,0,
BF-66,Burner,First Edition,Battlefoil,Hex,,175,Jalen Brunson,0,
BF-67,Burner,First Edition,Battlefoil,GLOW,,130,Jalen Brunson,0,
BF-68,Burner,First Edition,Battlefoil,Fire,,125,Jalen Brunson,0,
BF-69,Burner,First Edition,Battlefoil,Ice,,125,Jalen Brunson,0,
BF-70,Burner,First Edition,Battlefoil,Steel,,120,Jalen Brunson,0,
BF-71,Cowboy,First Edition,Battlefoil,Hex,,175,Corey Seager,0,
BF-72,Cowboy,First Edition,Battlefoil,GLOW,,130,Corey Seager,0,
BF-73,Cowboy,First Edition,Battlefoil,Fire,,125,Corey Seager,0,
BF-74,Cowboy,First Edition,Battlefoil,Ice,,125,Corey Seager,0,
BF-75,Cowboy,First Edition,Battlefoil,Steel,,120,Corey Seager,0,
BF-76,Yeti,First Edition,Battlefoil,Hex,,170,Travis Kelce,0,
BF-77,Yeti,First Edition,Battlefoil,GLOW,,125,Travis Kelce,0,
BF-78,Yeti,First Edition,Battlefoil,Fire,,120,Travis Kelce,0,
BF-79,Yeti,First Edition,Battlefoil,Ice,,120,Travis Kelce,0,
BF-80,Yeti,First Edition,Battlefoil,Steel,,115,Travis Kelce,0,
BF-81,Tattoo,First Edition,Battlefoil,Hex,,170,Fernando Tatís Jr.,0,
BF-82,Tattoo,First Edition,Battlefoil,GLOW,,125,Fernando Tatís Jr.,0,
BF-83,Tattoo,First Edition,Battlefoil,Fire,,120,Fernando Tatís Jr.,0,
BF-84,Tattoo,First Edition,Battlefoil,Ice,,120,Fernando Tatís Jr.,0,
BF-85,Tattoo,First Edition,Battlefoil,Steel,,115,Fernando Tatís Jr.,0,
BF-86,Superbaby,First Edition,Battlefoil,Hex,,170,Rafael Devers,0,
BF-87,Superbaby,First Edition,Battlefoil,GLOW,,125,Rafael Devers,0,
BF-88,Superbaby,First Edition,Battlefoil,Fire,,120,Rafael Devers,0,
BF-89,Superbaby,First Edition,Battlefoil,Ice,,120,Rafael Devers,0,
BF-90,Superbaby,First Edition,Battlefoil,Steel,,115,Rafael Devers,0,
BF-91,Jeesaw,First Edition,Battlefoil,Hex,,170,Najee Harris,0,
BF-92,Jeesaw,First Edition,Battlefoil,GLOW,,125,Najee Harris,0,
BF-93,Jeesaw,First Edition,Battlefoil,Fire,,120,Najee Harris,0,
BF-94,Jeesaw,First Edition,Battlefoil,Ice,,120,Najee Harris,0,
BF-95,Jeesaw,First Edition,Battlefoil,Steel,,115,Najee Harris,0,
BF-96,Tongue-Twister,First Edition,Battlefoil,Hex,,170,Tua Tagovailoa,0,
BF-97,Tongue-Twister,First Edition,Battlefoil,GLOW,,125,Tua Tagovailoa,0,
BF-98,Tongue-Twister,First Edition,Battlefoil,Fire,,120,Tua Tagovailoa,0,
BF-99,Tongue-Twister,First Edition,Battlefoil,Ice,,120,Tua Tagovailoa,0,
BF-100,Tongue-Twister,First Edition,Battlefoil,Steel,,115,Tua Tagovailoa,0,
BF-101,Halo,First Edition,Battlefoil,Hex,,165,Angel Reese,0,
BF-102,Halo,First Edition,Battlefoil,GLOW,,120,Angel Reese,0,
BF-103,Halo,First Edition,Battlefoil,Fire,,115,Angel Reese,0,
BF-104,Halo,First Edition,Battlefoil,Ice,,115,Angel Reese,0,
BF-105,Halo,First Edition,Battlefoil,Steel,,110,Angel Reese,0,
BF-106,Eagle-Eye,First Edition,Battlefoil,Hex,,165,Jalen Hurts,0,
BF-107,Eagle-Eye,First Edition,Battlefoil,GLOW,,120,Jalen Hurts,0,
BF-108,Eagle-Eye,First Edition,Battlefoil,Fire,,115,Jalen Hurts,0,
BF-109,Eagle-Eye,First Edition,Battlefoil,Ice,,115,Jalen Hurts,0,
BF-110,Eagle-Eye,First Edition,Battlefoil,Steel,,110,Jalen Hurts,0,
BF-111,Turntable,First Edition,Battlefoil,Hex,,165,Trea Turner,0,
BF-112,Turntable,First Edition,Battlefoil,GLOW,,120,Trea Turner,0,
BF-113,Turntable,First Edition,Battlefoil,Fire,,115,Trea Turner,0,
BF-114,Turntable,First Edition,Battlefoil,Ice,,115,Trea Turner,0,
BF-115,Turntable,First Edition,Battlefoil,Steel,,110,Trea Turner,0,
BF-116,Bandelero,First Edition,Battlefoil,Hex,,165,Paolo Banchero,0,
BF-117,Bandelero,First Edition,Battlefoil,GLOW,,120,Paolo Banchero,0,
BF-118,Bandelero,First Edition,Battlefoil,Fire,,115,Paolo Banchero,0,
BF-119,Bandelero,First Edition,Battlefoil,Ice,,115,Paolo Banchero,0,
BF-120,Bandelero,First Edition,Battlefoil,Steel,,110,Paolo Banchero,0,
BF-121,Marverati,First Edition,Battlefoil,Hex,,165,Marvin Harrison Jr.,0,
BF-122,Marverati,First Edition,Battlefoil,GLOW,,120,Marvin Harrison Jr.,0,
BF-123,Marverati,First Edition,Battlefoil,Fire,,115,Marvin Harrison Jr.,0,
BF-124,Marverati,First Edition,Battlefoil,Ice,,115,Marvin Harrison Jr.,0,
BF-125,Marverati,First Edition,Battlefoil,Steel,,110,Marvin Harrison Jr.,0,
BF-126,Action,First Edition,Battlefoil,Hex,,160,Jackson Holliday,0,
BF-127,Action,First Edition,Battlefoil,GLOW,,115,Jackson Holliday,0,
BF-128,Action,First Edition,Battlefoil,Fire,,110,Jackson Holliday,0,
BF-129,Action,First Edition,Battlefoil,Ice,,110,Jackson Holliday,0,
BF-130,Action,First Edition,Battlefoil,Steel,,105,Jackson Holliday,0,
BF-131,Vampire,First Edition,Battlefoil,Hex,,160,Vladimir Guerrero Jr.,0,
BF-132,Vampire,First Edition,Battlefoil,GLOW,,115,Vladimir Guerrero Jr.,0,
BF-133,Vampire,First Edition,Battlefoil,Fire,,110,Vladimir Guerrero Jr.,0,
BF-134,Vampire,First Edition,Battlefoil,Ice,,110,Vladimir Guerrero Jr.,0,
BF-135,Vampire,First Edition,Battlefoil,Steel,,105,Vladimir Guerrero Jr.,0,
BF-136,Jeeves,First Edition,Battlefoil,Hex,,160,Jimmy Butler,0,
BF-137,Jeeves,First Edition,Battlefoil,GLOW,,115,Jimmy Butler,0,
BF-138,Jeeves,First Edition,Battlefoil,Fire,,110,Jimmy Butler,0,
BF-139,Jeeves,First Edition,Battlefoil,Ice,,110,Jimmy Butler,0,
BF-140,Jeeves,First Edition,Battlefoil,Steel,,105,Jimmy Butler,0,
BF-141,Carroller,First Edition,Battlefoil,Hex,,160,Corbin Carroll,0,
BF-142,Carroller,First Edition,Battlefoil,GLOW,,115,Corbin Carroll,0,
BF-143,Carroller,First Edition,Battlefoil,Fire,,110,Corbin Carroll,0,
BF-144,Carroller,First Edition,Battlefoil,Ice,,110,Corbin Carroll,0,
BF-145,Carroller,First Edition,Battlefoil,Steel,,105,Corbin Carroll,0,
BF-146,Draco,First Edition,Battlefoil,Hex,,160,Drake Maye,0,
BF-147,Draco,First Edition,Battlefoil,GLOW,,115,Drake Maye,0,
BF-148,Draco,First Edition,Battlefoil,Fire,,110,Drake Maye,0,
BF-149,Draco,First Edition,Battlefoil,Ice,,110,Drake Maye,0,
BF-150,Draco,First Edition,Battlefoil,Steel,,105,Drake Maye,0,
BF-151,Cha-Ching,First Edition,Battlefoil,Hex,,155,Jackson Chourio,0,
BF-152,Cha-Ching,First Edition,Battlefoil,GLOW,,110,Jackson Chourio,0,
BF-153,Cha-Ching,First Edition,Battlefoil,Fire,,105,Jackson Chourio,0,
BF-154,Cha-Ching,First Edition,Battlefoil,Ice,,105,Jackson Chourio,0,
BF-155,Cha-Ching,First Edition,Battlefoil,Steel,,100,Jackson Chourio,0,
BF-156,Time,First Edition,Battlefoil,Hex,,155,Damian Lillard,0,
BF-157,Time,First Edition,Battlefoil,GLOW,,110,Damian Lillard,0,
BF-158,Time,First Edition,Battlefoil,Fire,,105,Damian Lillard,0,
BF-159,Time,First Edition,Battlefoil,Ice,,105,Damian Lillard,0,
BF-160,Time,First Edition,Battlefoil,Steel,,100,Damian Lillard,0,
BF-161,Fungi,First Edition,Battlefoil,Hex,,155,Kawhi Leonard,0,
BF-162,Fungi,First Edition,Battlefoil,GLOW,,110,Kawhi Leonard,0,
BF-163,Fungi,First Edition,Battlefoil,Fire,,105,Kawhi Leonard,0,
BF-164,Fungi,First Edition,Battlefoil,Ice,,105,Kawhi Leonard,0,
BF-165,Fungi,First Edition,Battlefoil,Steel,,100,Kawhi Leonard,0,
BF-166,Wildbeard,First Edition,Battlefoil,Hex,,155,James Harden,0,
BF-167,Wildbeard,First Edition,Battlefoil,GLOW,,110,James Harden,0,
BF-168,Wildbeard,First Edition,Battlefoil,Fire,,105,James Harden,0,
BF-169,Wildbeard,First Edition,Battlefoil,Ice,,105,James Harden,0,
BF-170,Wildbeard,First Edition,Battlefoil,Steel,,100,James Harden,0,
BF-171,Shepherd,First Edition,Battlefoil,Hex,,155,Ceedee Lamb,0,
BF-172,Shepherd,First Edition,Battlefoil,GLOW,,110,Ceedee Lamb,0,
BF-173,Shepherd,First Edition,Battlefoil,Fire,,105,Ceedee Lamb,0,
BF-174,Shepherd,First Edition,Battlefoil,Ice,,105,Ceedee Lamb,0,
BF-175,Shepherd,First Edition,Battlefoil,Steel,,100,Ceedee Lamb,0,
BF-176,Ollie,First Edition,Battlefoil,Hex,,150,Matt Olson,0,
BF-177,Ollie,First Edition,Battlefoil,GLOW,,105,Matt Olson,0,
BF-178,Ollie,First Edition,Battlefoil,Fire,,100,Matt Olson,0,
BF-179,Ollie,First Edition,Battlefoil,Ice,,100,Matt Olson,0,
BF-180,Ollie,First Edition,Battlefoil,Steel,,95,Matt Olson,0,
BF-181,Tank,First Edition,Battlefoil,Hex,,150,Derrick Henry,0,
BF-182,Tank,First Edition,Battlefoil,GLOW,,105,Derrick Henry,0,
BF-183,Tank,First Edition,Battlefoil,Fire,,100,Derrick Henry,0,
BF-184,Tank,First Edition,Battlefoil,Ice,,100,Derrick Henry,0,
BF-185,Tank,First Edition,Battlefoil,Steel,,95,Derrick Henry,0,
BF-186,Grin,First Edition,Battlefoil,Hex,,150,Fracisco Lindor,0,
BF-187,Grin,First Edition,Battlefoil,GLOW,,105,Fracisco Lindor,0,
BF-188,Grin,First Edition,Battlefoil,Fire,,100,Fracisco Lindor,0,
BF-189,Grin,First Edition,Battlefoil,Ice,,100,Fracisco Lindor,0,
BF-190,Grin,First Edition,Battlefoil,Steel,,95,Fracisco Lindor,0,
BF-191,Bammer,First Edition,Battlefoil,Hex,,150,Bam Adebayo,0,
BF-192,Bammer,First Edition,Battlefoil,GLOW,,105,Bam Adebayo,0,
BF-193,Bammer,First Edition,Battlefoil,Fire,,100,Bam Adebayo,0,
BF-194,Bammer,First Edition,Battlefoil,Ice,,100,Bam Adebayo,0,
BF-195,Bammer,First Edition,Battlefoil,Steel,,95,Bam Adebayo,0,
BF-196,Barreler,First Edition,Battlefoil,Hex,,150,Cooper Kupp,0,
BF-197,Barreler,First Edition,Battlefoil,GLOW,,105,Cooper Kupp,0,
BF-198,Barreler,First Edition,Battlefoil,Fire,,100,Cooper Kupp,0,
BF-199,Barreler,First Edition,Battlefoil,Ice,,100,Cooper Kupp,0,
BF-200,Barreler,First Edition,Battlefoil,Steel,,95,Cooper Kupp,0,
BF-201,Cupid,First Edition,Battlefoil,Hex,,145,Jordan Love,0,
BF-202,Cupid,First Edition,Battlefoil,GLOW,,100,Jordan Love,0,
BF-203,Cupid,First Edition,Battlefoil,Fire,,95,Jordan Love,0,
BF-204,Cupid,First Edition,Battlefoil,Ice,,95,Jordan Love,0,
BF-205,Cupid,First Edition,Battlefoil,Steel,,90,Jordan Love,0,
BF-206,Javalanche,First Edition,Battlefoil,Hex,,145,Jamal Murray,0,
BF-207,Javalanche,First Edition,Battlefoil,GLOW,,100,Jamal Murray,0,
BF-208,Javalanche,First Edition,Battlefoil,Fire,,95,Jamal Murray,0,
BF-209,Javalanche,First Edition,Battlefoil,Ice,,95,Jamal Murray,0,
BF-210,Javalanche,First Edition,Battlefoil,Steel,,90,Jamal Murray,0,
BF-211,Bionic,First Edition,Battlefoil,Hex,,145,Carlos Correa,0,
BF-212,Bionic,First Edition,Battlefoil,GLOW,,100,Carlos Correa,0,
BF-213,Bionic,First Edition,Battlefoil,Fire,,95,Carlos Correa,0,
BF-214,Bionic,First Edition,Battlefoil,Ice,,95,Carlos Correa,0,
BF-215,Bionic,First Edition,Battlefoil,Steel,,90,Carlos Correa,0,
