bv_id,external_card_number,internal_card_number,name,type,set,sub_set,variations,element,power,cost,image_url,is_placeholder,filename,download_status,error
48,GLBF-279,GLBF-279,Action,Hero,Alpha,2024 Release,Grandma's Linoleum Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-linoleum279-1-bz1.webp,0,GLBF-279_Action_Ice_P110.webp,ok,
49,GLBF-280,GLBF-280,Action,Hero,Alpha,2024 Release,Grandma's Linoleum Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-linoleum280-1-bz1.webp,0,GLBF-280_Action_Steel_P105.webp,ok,
50,HBF-26,HBF-26,Action,Hero,Alpha,2024 Release,Headlines Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-headlines26-1-bz1.webp,0,HBF-26_Action_Steel_P105.webp,ok,
51,OBF-56,OBF-56,Action,Hero,Alpha,2024 Release,Orange Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-invertedbattlefoils208-1-bz1.webp,0,OBF-56_Action_Fire_P110.webp,ok,
52,PBF-56,PBF-56,Action,Hero,Alpha,2024 Release,Pink Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-invertedbattlefoils56-1-bz1.webp,0,PBF-56_Action_Hex_P160.webp,ok,
53,RAD-276,RAD-276,Action,Hero,Alpha,2024 Release,80's Rad Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-rad276-1-bz1.webp,0,RAD-276_Action_Hex_P160.webp,ok,
54,RAD-277,RAD-277,Action,Hero,Alpha,2024 Release,80's Rad Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-rad277-1-bz1.webp,0,RAD-277_Action_Glow_P115.webp,ok,
55,RAD-278,RAD-278,Action,Hero,Alpha,2024 Release,80's Rad Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-rad278-1-bz1.webp,0,RAD-278_Action_Fire_P110.webp,ok,
56,RAD-279,RAD-279,Action,Hero,Alpha,2024 Release,80's Rad Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-rad279-1-bz1.webp,0,RAD-279_Action_Ice_P110.webp,ok,
57,RAD-280,RAD-280,Action,Hero,Alpha,2024 Release,80's Rad Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-rad280-1-bz1.webp,0,RAD-280_Action_Steel_P105.webp,ok,
58,SBF-26,SBF-26,Action,Hero,Alpha,2024 Release,Silver Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-invertedbattlefoils330-1-bz1.webp,0,SBF-26_Action_Steel_P105.webp,ok,
59,SF-56,SF-56,Action,Hero,Alpha,2024 Release,Superfoil,Super,160,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-superfoils56-1-bz1.webp,0,SF-56_Action_Super_P160.webp,ok,
60,PL-61,PL-061,Add Firepower,Play,Alpha,2024 Release,Base (Paper),,,2,https://images.bazookavault.com/card_fronts/2025/alphaedition-100plays61-1-bz1.webp,0,PL-61_Add_Firepower.webp,ok,
61,HTD-17,HTD-17,Adding Depth,Home Team Discount Play,Alpha,Blast,,,,1,https://images.bazookavault.com/card_fronts/alpha_update_2025/PLAYS-HTD/PLAYS-HTD_page-0017-bz1.webp,0,HTD-17_Adding_Depth.webp,ok,
62,PL-81,PL-081,Adding Depth,Play,Alpha,2024 Release,Base (Paper),,,2,https://images.bazookavault.com/card_fronts/2025/alphaedition-100plays81-1-bz1.webp,0,PL-81_Adding_Depth.webp,ok,
63,S-63/100,S-063/100,Adding Depth,Play,2024 National Show Starter Set,Release,Base (Paper),,,2,https://images.bazookavault.com/card_fronts/2025/2024-national-show-starter-set63-1-bz1.webp,0,S-63_100_Adding_Depth.webp,ok,
64,35,035,Aeronaut,Hero,Alpha,2025 Update,Base (Paper),Fire,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Fire-Paper/Fire-Paper_page-0035-bz1.webp,0,35_Aeronaut_Fire_P110.webp,ok,
65,95,095,Aeronaut,Hero,Alpha,2025 Update,Base (Paper),Ice,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Ice-Paper/Ice-Paper_page-0035-bz1.webp,0,95_Aeronaut_Ice_P110.webp,ok,
66,155,155,Aeronaut,Hero,Alpha,2025 Update,Base (Paper),Steel,105,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Steel-Paper/Steel-Paper_page-0035-bz1.webp,0,155_Aeronaut_Steel_P105.webp,ok,
67,BBF-77,BBF-077,Aeronaut,Hero,Alpha,2025 Update,Blue Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Ice-BlueBattleFoil/Ice-BlueBattleFoil_page-0077-bz1.webp,0,BBF-77_Aeronaut_Ice_P110.webp,ok,
68,BF-35,BF-035,Aeronaut,Hero,Alpha,2025 Update,Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Hex-BattleFoil/Hex-BattleFoil_page-0035-bz1.webp,0,BF-35_Aeronaut_Hex_P160.webp,ok,
69,BF-95,BF-095,Aeronaut,Hero,Alpha,2025 Update,Battlefoil,Glow,125,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Glow-BattleFoil/Glow-BattleFoil_page-0035-bz1.webp,0,BF-95_Aeronaut_Glow_P125.webp,ok,
70,BF-155,BF-155,Aeronaut,Hero,Alpha,2025 Update,Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Fire-BattleFoil/Fire-BattleFoil_page-0035-bz1.webp,0,BF-155_Aeronaut_Fire_P110.webp,ok,
71,BF-215,BF-215,Aeronaut,Hero,Alpha,2025 Update,Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Ice-BattleFoil/Ice-BattleFoil_page-0035-bz1.webp,0,BF-215_Aeronaut_Ice_P110.webp,ok,
72,BF-275,BF-275,Aeronaut,Hero,Alpha,2025 Update,Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Steel-BattleFoil/Steel-BattleFoil_page-0035-bz1.webp,0,BF-275_Aeronaut_Steel_P105.webp,ok,
73,BGBF-38,BGBF-038,Aeronaut,Hero,Alpha,2025 Update,Bubble Gum Battlefoil,Gum,160,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Gum-BattleFoil/Gum-BattleFoil_page-0038-bz1.webp,0,BGBF-38_Aeronaut_Gum_P160.webp,ok,
74,BHBF-35,BHBF-035,Aeronaut,Hero,Alpha,2025 Update,"Blue Headlines Battlefoil, Headlines Battlefoil",Ice,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Headlines-Ice-Blue/Headlines-Ice-Blue_page-0035-bz1.webp,0,BHBF-35_Aeronaut_Ice_P110.webp,ok,
75,BL-B153,BL-B153,Aeronaut,Hero,Alpha,Blast,Blue Blast,Ice,110,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Ice-bz1.webp,1,,,
76,BLBF-35,BLBF-035,Aeronaut,Hero,Alpha,2025 Update,Blizzard Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Hex-Blizzard/Hex-Blizzard_page-0035-bz1.webp,0,BLBF-35_Aeronaut_Hex_P160.webp,ok,
77,BLBF-95,BLBF-095,Aeronaut,Hero,Alpha,2025 Update,Blizzard Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Glow-Blizzard/Glow-Blizzard_page-0035-bz1.webp,0,BLBF-95_Aeronaut_Glow_P115.webp,ok,
78,BLBF-155,BLBF-155,Aeronaut,Hero,Alpha,2025 Update,Blizzard Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Fire-Blizzard/Fire-Blizzard_page-0035-bz1.webp,0,BLBF-155_Aeronaut_Fire_P110.webp,ok,
79,BLBF-215,BLBF-215,Aeronaut,Hero,Alpha,2025 Update,Blizzard Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Ice-Blizzard/Ice-Blizzard_page-0035-bz1.webp,0,BLBF-215_Aeronaut_Ice_P110.webp,ok,
80,BLBF-275,BLBF-275,Aeronaut,Hero,Alpha,2025 Update,Blizzard Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Steel-Blizzard/Steel-Blizzard_page-0035-bz1.webp,0,BLBF-275_Aeronaut_Steel_P105.webp,ok,
81,BL-BG153,BL-BG0153,Aeronaut,Hero,Alpha,Blast,Bubble Gum Blast,Gum,160,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Gum-bz1.webp,1,,,
82,BL-G153,BL-G153,Aeronaut,Hero,Alpha,Blast,Green Blast,Glow,115,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Glow-bz1.webp,1,,,
83,BL-O153,BL-O153,Aeronaut,Hero,Alpha,Blast,Orange Blast,Fire,110,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Fire-bz1.webp,1,,,
84,BL-P153,BL-P0153,Aeronaut,Hero,Alpha,Blast,Pink Blast,Hex,160,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Hex-bz1.webp,1,,,
85,BL-S153,BL-S153,Aeronaut,Hero,Alpha,Blast,Silver Blast,Steel,105,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Steel-bz1.webp,1,,,
86,FT-77,FT-077,Aeronaut,Hero,Alpha,2025 Update,Fire Tracks Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/FIRE-TRACKS-Base/FIRE-TRACKS-Base_page-0035-bz1.webp,0,FT-77_Aeronaut_Fire_P110.webp,ok,
87,GBF-77,GBF-077,Aeronaut,Hero,Alpha,2025 Update,Green Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Glow-GreenBattleFoil/Glow-GreenBattleFoil_page-0077-bz1.webp,0,GBF-77_Aeronaut_Glow_P115.webp,ok,
88,GLBF-245,GLBF-245,Aeronaut,Hero,Alpha,2025 Update,Grandma's Linoleum Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Linoleum-Hex/Linoleum-Hex_page-0077-bz1.webp,0,GLBF-245_Aeronaut_Hex_P160.webp,ok,
89,GLBF-305,GLBF-305,Aeronaut,Hero,Alpha,2025 Update,Grandma's Linoleum Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Linoleum-Glow/Linoleum-Glow_page-0077-bz1.webp,0,GLBF-305_Aeronaut_Glow_P115.webp,ok,
90,GLBF-365,GLBF-365,Aeronaut,Hero,Alpha,2025 Update,Grandma's Linoleum Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Linoleum-Fire/Linoleum-Fire_page-0077-bz1.webp,0,GLBF-365_Aeronaut_Fire_P110.webp,ok,
91,GLBF-425,GLBF-425,Aeronaut,Hero,Alpha,2025 Update,Grandma's Linoleum Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Linoleum-Ice/Linoleum-Ice_page-0077-bz1.webp,0,GLBF-425_Aeronaut_Ice_P110.webp,ok,
92,GLBF-485,GLBF-485,Aeronaut,Hero,Alpha,2025 Update,Grandma's Linoleum Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Linoleum-Steel/Linoleum-Steel_page-0077-bz1.webp,0,GLBF-485_Aeronaut_Steel_P105.webp,ok,
93,HBF-35,HBF-035,Aeronaut,Hero,Alpha,2025 Update,Headlines Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Headlines-Silver/Headlines-Silver_page-0035-bz1.webp,0,HBF-35_Aeronaut_Steel_P105.webp,ok,
94,MI-77,MI-077,Aeronaut,Hero,Alpha,2025 Update,Miami Ice Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/MIAMI/MIAMI_page-0077-bz1.webp,0,MI-77_Aeronaut_Ice_P110.webp,ok,
95,MIX-245,MIX-245,Aeronaut,Hero,Alpha,2025 Update,Mixtape Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/alpha_update_2025/MIXTAPE-Hex/MIXTAPE-Hex_page-0077-bz1.webp,0,MIX-245_Aeronaut_Hex_P160.webp,ok,
96,MIX-305,MIX-305,Aeronaut,Hero,Alpha,2025 Update,Mixtape Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/alpha_update_2025/MIXTAPE-Glow/MIXTAPE-Glow_page-0077-bz1.webp,0,MIX-305_Aeronaut_Glow_P115.webp,ok,
97,MIX-365,MIX-365,Aeronaut,Hero,Alpha,2025 Update,Mixtape Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/MIXTAPE-Fire/MIXTAPE-Fire_page-0077-bz1.webp,0,MIX-365_Aeronaut_Fire_P110.webp,ok,
98,MIX-425,MIX-425,Aeronaut,Hero,Alpha,2025 Update,Mixtape Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/MIXTAPE-Ice/MIXTAPE-Ice_page-0077-bz1.webp,0,MIX-425_Aeronaut_Ice_P110.webp,ok,
99,MIX-485,MIX-485,Aeronaut,Hero,Alpha,2025 Update,Mixtape Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/alpha_update_2025/MIXTAPE-Steel/MIXTAPE-Steel_page-0077-bz1.webp,0,MIX-485_Aeronaut_Steel_P105.webp,ok,
100,OBF-77,OBF-077,Aeronaut,Hero,Alpha,2025 Update,Orange Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Fire-OrangeBattleFoil/Fire-OrangeBattleFoil_page-0077-bz1.webp,0,OBF-77_Aeronaut_Fire_P110.webp,ok,
101,PBF-77,PBF-077,Aeronaut,Hero,Alpha,2025 Update,Pink Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Hex-PurpleBattleFoil/Hex-PurpleBattleFoil_page-0077-bz1.webp,0,PBF-77_Aeronaut_Hex_P160.webp,ok,
102,RAD-245,RAD-245,Aeronaut,Hero,Alpha,2025 Update,80's Rad Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Rad-Hex/Rad-Hex_page-0077-bz1.webp,0,RAD-245_Aeronaut_Hex_P160.webp,ok,
103,RAD-305,RAD-305,Aeronaut,Hero,Alpha,2025 Update,80's Rad Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Rad-Glow/Rad-Glow_page-0077-bz1.webp,0,RAD-305_Aeronaut_Glow_P115.webp,ok,
104,RAD-365,RAD-365,Aeronaut,Hero,Alpha,2025 Update,80's Rad Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Rad-Fire/Rad-Fire_page-0077-bz1.webp,0,RAD-365_Aeronaut_Fire_P110.webp,ok,
105,RAD-425,RAD-425,Aeronaut,Hero,Alpha,2025 Update,80's Rad Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Rad-Ice/Rad-Ice_page-0077-bz1.webp,0,RAD-425_Aeronaut_Ice_P110.webp,ok,
106,RAD-485,RAD-485,Aeronaut,Hero,Alpha,2025 Update,80's Rad Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Rad-Steel/Rad-Steel_page-0077-bz1.webp,0,RAD-485_Aeronaut_Steel_P105.webp,ok,
107,RHBF-35,RHBF-035,Aeronaut,Hero,Alpha,2025 Update,"Headlines Battlefoil, Red Headlines Battlefoil",Fire,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Headlines-Fire-Red/Headlines-Fire-Red_page-0035-bz1.webp,0,RHBF-35_Aeronaut_Fire_P110.webp,ok,
108,SBF-35,SBF-035,Aeronaut,Hero,Alpha,2025 Update,Silver Battlefoil,Steel,110,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Steel-SilverBattleFoil/Steel-SilverBattleFoil_page-0035-bz1.webp,0,SBF-35_Aeronaut_Steel_P110.webp,ok,
109,SF-77,SF-077,Aeronaut,Hero,Alpha,2025 Update,Superfoil,Super,160,,https://images.bazookavault.com/card_fronts/alpha_update_2025/Super/Super_page-0077-bz1.webp,0,SF-77_Aeronaut_Super_P160.webp,ok,
110,BPL-18,BPL-18,A Game Of War,Bonus Play,Griffey,2025 Release,,,,,https://images.bazookavault.com/card_fronts/2026/Griffey-Plays/2026-Plays_page-0118-bz1.webp,0,BPL-18_A_Game_Of_War.webp,ok,
111,BPL-17,BPL-017,A Hard Bargain,Bonus Play,Alpha,2025 Update,,,,2,https://images.bazookavault.com/card_fronts/alpha_update_2025/PLAYS-BONUS-AlphaUpdate/PLAYS-BONUS-AlphaUpdate_page-0017-bz1.webp,0,BPL-17_A_Hard_Bargain.webp,ok,
